stationName,Month,Monthly_Total_Evap
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-04-30,-0.33390507102012634
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-05-31,-1.237030029296875
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-06-30,-1.0389573574066162
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-07-31,-1.0704708099365234
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-08-31,-2.2440547943115234
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-09-30,-1.6978548765182495
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-10-31,-1.8580405712127686
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-11-30,-1.0349979400634766
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2021-12-31,-0.5421828031539917
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-01-31,-0.7300011515617371
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-02-28,-1.1354289054870605
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-03-31,-1.232811689376831
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-04-30,-0.7681224346160889
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-05-31,-0.8167442083358765
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-06-30,-0.5899478793144226
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-07-31,-1.8817733526229858
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-08-31,-1.967313289642334
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-09-30,-1.659386157989502
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-10-31,-1.658158302307129
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-11-30,-1.0438240766525269
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2022-12-31,-0.5415074825286865
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-01-31,-0.5288054347038269
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-02-28,-0.7771056890487671
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-03-31,-1.0382277965545654
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-04-30,-1.1376667022705078
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-05-31,-1.469673991203308
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-06-30,-1.0429006814956665
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-07-31,-1.736478567123413
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-08-31,-2.288940906524658
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-09-30,-1.95954430103302
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-10-31,-1.4019811153411865
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-11-30,-0.49709177017211914
Delhi_North East_Yamuna Vihar_Yamuna Vihar DJB WTP,2023-12-31,-0.3035348653793335
Delhi East PREET VIHAR Bank Enclave Pz,2020-01-31,-0.7593767642974854
Delhi East PREET VIHAR Bank Enclave Pz,2020-02-29,-1.0697414875030518
Delhi East PREET VIHAR Bank Enclave Pz,2020-03-31,-1.674594521522522
Delhi East PREET VIHAR Bank Enclave Pz,2020-04-30,-1.4388649463653564
Delhi East PREET VIHAR Bank Enclave Pz,2020-05-31,-1.0992190837860107
Delhi East PREET VIHAR Bank Enclave Pz,2020-06-30,-1.2001851797103882
Delhi East PREET VIHAR Bank Enclave Pz,2020-07-31,-1.5744819641113281
Delhi East PREET VIHAR Bank Enclave Pz,2020-08-31,-1.7322351932525635
Delhi East PREET VIHAR Bank Enclave Pz,2020-09-30,-2.0377283096313477
Delhi East PREET VIHAR Bank Enclave Pz,2020-10-31,-1.0103410482406616
Delhi East PREET VIHAR Bank Enclave Pz,2020-11-30,-0.49100738763809204
Delhi East PREET VIHAR Bank Enclave Pz,2020-12-31,-0.2926638424396515
Delhi East PREET VIHAR Bank Enclave Pz,2021-01-31,-0.5458824038505554
Delhi East PREET VIHAR Bank Enclave Pz,2021-02-28,-0.4724346697330475
Delhi East PREET VIHAR Bank Enclave Pz,2021-03-31,-0.426980197429657
Delhi East PREET VIHAR Bank Enclave Pz,2021-04-30,-0.33390507102012634
Delhi East PREET VIHAR Bank Enclave Pz,2021-05-31,-1.237030029296875
Delhi East PREET VIHAR Bank Enclave Pz,2021-06-30,-1.0389573574066162
Delhi East PREET VIHAR Bank Enclave Pz,2021-07-31,-1.0704708099365234
Delhi East PREET VIHAR Bank Enclave Pz,2021-08-31,-2.2440547943115234
Delhi East PREET VIHAR Bank Enclave Pz,2021-09-30,-1.6978548765182495
Delhi East PREET VIHAR Bank Enclave Pz,2021-10-31,-1.8580405712127686
Delhi East PREET VIHAR Bank Enclave Pz,2021-11-30,-1.0349979400634766
Delhi East PREET VIHAR Bank Enclave Pz,2021-12-31,-0.5421828031539917
Delhi East PREET VIHAR Bank Enclave Pz,2022-01-31,-0.7300011515617371
Delhi East PREET VIHAR Bank Enclave Pz,2022-02-28,-1.1354289054870605
Delhi East PREET VIHAR Bank Enclave Pz,2022-03-31,-1.232811689376831
Delhi East PREET VIHAR Bank Enclave Pz,2022-04-30,-0.7681224346160889
Delhi East PREET VIHAR Bank Enclave Pz,2022-05-31,-0.8167442083358765
Delhi East PREET VIHAR Bank Enclave Pz,2022-06-30,-0.5899478793144226
Delhi East PREET VIHAR Bank Enclave Pz,2022-07-31,-1.8817733526229858
Delhi East PREET VIHAR Bank Enclave Pz,2022-08-31,-1.967313289642334
Delhi East PREET VIHAR Bank Enclave Pz,2022-09-30,-1.659386157989502
Delhi East PREET VIHAR Bank Enclave Pz,2022-10-31,-1.658158302307129
Delhi East PREET VIHAR Bank Enclave Pz,2022-11-30,-1.0438240766525269
Delhi East PREET VIHAR Bank Enclave Pz,2022-12-31,-0.5415074825286865
Delhi East PREET VIHAR Bank Enclave Pz,2023-01-31,-0.5288054347038269
Delhi East PREET VIHAR Bank Enclave Pz,2023-02-28,-0.7771056890487671
Delhi East PREET VIHAR Bank Enclave Pz,2023-03-31,-1.0382277965545654
Delhi East PREET VIHAR Bank Enclave Pz,2023-04-30,-1.1376667022705078
Delhi East PREET VIHAR Bank Enclave Pz,2023-05-31,-1.469673991203308
Delhi East PREET VIHAR Bank Enclave Pz,2023-06-30,-1.0429006814956665
Delhi East PREET VIHAR Bank Enclave Pz,2023-07-31,-1.736478567123413
Delhi East PREET VIHAR Bank Enclave Pz,2023-08-31,-2.288940906524658
Delhi East PREET VIHAR Bank Enclave Pz,2023-09-30,-1.95954430103302
Delhi East PREET VIHAR Bank Enclave Pz,2023-10-31,-1.4019811153411865
Delhi East PREET VIHAR Bank Enclave Pz,2023-11-30,-0.49709177017211914
Delhi East PREET VIHAR Bank Enclave Pz,2023-12-31,-0.3035348653793335
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2020-01-31,-0.7593767642974854
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2020-02-29,-1.0697414875030518
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2020-03-31,-1.674594521522522
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2020-04-30,-1.4388649463653564
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2020-05-31,-1.0992190837860107
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2020-06-30,-1.2001851797103882
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2020-07-31,-1.5744819641113281
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2020-08-31,-1.7322351932525635
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2020-09-30,-2.0377283096313477
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2020-10-31,-1.0103410482406616
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2020-11-30,-0.49100738763809204
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2020-12-31,-0.2926638424396515
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2021-01-31,-0.5458824038505554
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2021-02-28,-0.4724346697330475
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2021-03-31,-0.426980197429657
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2021-04-30,-0.33390507102012634
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2021-05-31,-1.237030029296875
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2021-06-30,-1.0389573574066162
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2021-07-31,-1.0704708099365234
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2021-08-31,-2.2440547943115234
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2021-09-30,-1.6978548765182495
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2021-10-31,-1.8580405712127686
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2021-11-30,-1.0349979400634766
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2021-12-31,-0.5421828031539917
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2022-01-31,-0.7300011515617371
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2022-02-28,-1.1354289054870605
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2022-03-31,-1.232811689376831
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2022-04-30,-0.7681224346160889
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2022-05-31,-0.8167442083358765
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2022-06-30,-0.5899478793144226
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2022-07-31,-1.8817733526229858
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2022-08-31,-1.967313289642334
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2022-09-30,-1.659386157989502
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2022-10-31,-1.658158302307129
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2022-11-30,-1.0438240766525269
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2022-12-31,-0.5415074825286865
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-01-31,-0.5288054347038269
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-02-28,-0.7771056890487671
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-03-31,-1.0382277965545654
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-04-30,-1.1376667022705078
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-05-31,-1.469673991203308
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-06-30,-1.0429006814956665
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-07-31,-1.736478567123413
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-08-31,-2.288940906524658
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-09-30,-1.95954430103302
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-10-31,-1.4019811153411865
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-11-30,-0.49709177017211914
Delhi_East_Mayur Vihar_Chilla Saroda Pz,2023-12-31,-0.3035348653793335
Delhi East PREET VIHAR Gujarat Vihar Pz,2020-01-31,-0.7593767642974854
Delhi East PREET VIHAR Gujarat Vihar Pz,2020-02-29,-1.0697414875030518
Delhi East PREET VIHAR Gujarat Vihar Pz,2020-03-31,-1.674594521522522
Delhi East PREET VIHAR Gujarat Vihar Pz,2020-04-30,-1.4388649463653564
Delhi East PREET VIHAR Gujarat Vihar Pz,2020-05-31,-1.0992190837860107
Delhi East PREET VIHAR Gujarat Vihar Pz,2020-06-30,-1.2001851797103882
